Year,State,PartyColor,ElectoralVote,Winner
2024,Alabama,Republican,9,Donald J. Trump
2024,Alaska,Republican,3,Donald J. Trump
2024,Arizona,Republican,11,Donald J. Trump
2024,Arkansas,Republican,6,Donald J. Trump
2024,California,Democrat,55,Kamala D. Harris
2024,Colorado,Democrat,9,Kamala D. Harris
2024,Connecticut,Democrat,7,Kamala D. Harris
2024,Delaware,Democrat,3,Kamala D. Harris
2024,Florida,Republican,29,Donald J. Trump
2024,Georgia,Republican,16,Donald J. Trump
2024,Hawaii,Democrat,4,Kamala D. Harris
2024,Idaho,Republican,4,Donald J. Trump
2024,Illinois,Democrat,20,Kamala D. Harris
2024,Indiana,Republican,11,Donald J. Trump
2024,Iowa,Republican,6,Donald J. Trump
2024,Kansas,Republican,6,Donald J. Trump
2024,Kentucky,Republican,8,Donald J. Trump
2024,Louisiana,Republican,8,Donald J. Trump
2024,Maine,Democrat,2,Kamala D. Harris
2024,Maine CD-1,Democrat-NE,1,Kamala D. Harris
2024,Maine CD-2,Republican,1,Donald J. Trump
2024,Maryland,Democrat,10,Kamala D. Harris
2024,Massachusetts,Democrat,11,Kamala D. Harris
2024,Michigan,Republican,16,Donald J. Trump
2024,Minnesota,Democrat,10,Kamala D. Harris
2024,Mississippi,Republican,6,Donald J. Trump
2024,Missouri,Republican,10,Donald J. Trump
2024,Montana,Republican,3,Donald J. Trump
2024,Nebraska,Republican-2,2,Donald J. Trump
2024,Nebraska CD-1,Republican-2,1,Donald J. Trump
2024,Nebraska CD-2,Democrat,1,Kamala D. Harris
2024,Nebraska CD-3,Republican-2,1,Donald J. Trump
2024,Nevada,Republican,6,Donald J. Trump
2024,New Hampshire,Democrat,4,Kamala D. Harris
2024,New Jersey,Democrat,14,Kamala D. Harris
2024,New Mexico,Democrat,5,Kamala D. Harris
2024,New York,Democrat,29,Kamala D. Harris
2024,North Carolina,Republican,15,Donald J. Trump
2024,North Dakota,Republican,3,Donald J. Trump
2024,Ohio,Republican,18,Donald J. Trump
2024,Oklahoma,Republican,7,Donald J. Trump
2024,Oregon,Democrat,7,Kamala D. Harris
2024,Pennsylvania,Republican,20,Donald J. Trump
2024,Rhode Island,Democrat,4,Kamala D. Harris
2024,South Carolina,Republican,9,Donald J. Trump
2024,South Dakota,Republican,3,Donald J. Trump
2024,Tennessee,Republican,11,Donald J. Trump
2024,Texas,Republican,38,Donald J. Trump
2024,Utah,Republican,6,Donald J. Trump
2024,Vermont,Democrat,3,Kamala D. Harris
2024,Virginia,Democrat,13,Kamala D. Harris
2024,Washington,Democrat,12,Kamala D. Harris
2024,West Virginia,Republican,5,Donald J. Trump
2024,Wisconsin,Republican,10,Donald J. Trump
2024,Wyoming,Republican,3,Donald J. Trump
2024,"Washington, D.C.",Democrat,3,Kamala D. Harris
2020,Alabama,Republican,9,Donald J. Trump
2020,Alaska,Republican,3,Donald J. Trump
2020,Arizona,Democrat,11,Joseph R. Biden
2020,Arkansas,Republican,6,Donald J. Trump
2020,California,Democrat,55,Joseph R. Biden
2020,Colorado,Democrat,9,Joseph R. Biden
2020,Connecticut,Democrat,7,Joseph R. Biden
2020,Delaware,Democrat,3,Joseph R. Biden
2020,Florida,Republican,29,Donald J. Trump
2020,Georgia,Democrat,16,Joseph R. Biden
2020,Hawaii,Democrat,4,Joseph R. Biden
2020,Idaho,Republican,4,Donald J. Trump
2020,Illinois,Democrat,20,Joseph R. Biden
2020,Indiana,Republican,11,Donald J. Trump
2020,Iowa,Republican,6,Donald J. Trump
2020,Kansas,Republican,6,Donald J. Trump
2020,Kentucky,Republican,8,Donald J. Trump
2020,Louisiana,Republican,8,Donald J. Trump
2020,Maine,Democrat,2,Joseph R. Biden
2020,Maine CD-1,Democrat-NE,1,Joseph R. Biden
2020,Maine CD-2,Republican,1,Donald J. Trump
2020,Maryland,Democrat,10,Joseph R. Biden
2020,Massachusetts,Democrat,11,Joseph R. Biden
2020,Michigan,Democrat,16,Joseph R. Biden
2020,Minnesota,Democrat,10,Joseph R. Biden
2020,Mississippi,Republican,6,Donald J. Trump
2020,Missouri,Republican,10,Donald J. Trump
2020,Montana,Republican,3,Donald J. Trump
2020,Nebraska,Republican-2,2,Donald J. Trump
2020,Nebraska CD-1,Republican-2,1,Donald J. Trump
2020,Nebraska CD-2,Democrat,1,Joseph R. Biden
2020,Nebraska CD-3,Republican-2,1,Donald J. Trump
2020,Nevada,Democrat,6,Joseph R. Biden
2020,New Hampshire,Democrat,4,Joseph R. Biden
2020,New Jersey,Democrat,14,Joseph R. Biden
2020,New Mexico,Democrat,5,Joseph R. Biden
2020,New York,Democrat,29,Joseph R. Biden
2020,North Carolina,Republican,15,Donald J. Trump
2020,North Dakota,Republican,3,Donald J. Trump
2020,Ohio,Republican,18,Donald J. Trump
2020,Oklahoma,Republican,7,Donald J. Trump
2020,Oregon,Democrat,7,Joseph R. Biden
2020,Pennsylvania,Democrat,20,Joseph R. Biden
2020,Rhode Island,Democrat,4,Joseph R. Biden
2020,South Carolina,Republican,9,Donald J. Trump
2020,South Dakota,Republican,3,Donald J. Trump
2020,Tennessee,Republican,11,Donald J. Trump
2020,Texas,Republican,38,Donald J. Trump
2020,Utah,Republican,6,Donald J. Trump
2020,Vermont,Democrat,3,Joseph R. Biden
2020,Virginia,Democrat,13,Joseph R. Biden
2020,Washington,Democrat,12,Joseph R. Biden
2020,West Virginia,Republican,5,Donald J. Trump
2020,Wisconsin,Democrat,10,Joseph R. Biden
2020,Wyoming,Republican,3,Donald J. Trump
2020,"Washington, D.C.",Democrat,3,Joseph R. Biden
2016,Alabama,Republican,9,Donald J. Trump
2016,Alaska,Republican,3,Donald J. Trump
2016,Arizona,Republican,11,Donald J. Trump
2016,Arkansas,Republican,6,Donald J. Trump
2016,California,Democrat,55,Hillary R. Clinton
2016,Colorado,Democrat,9,Hillary R. Clinton
2016,Connecticut,Democrat,7,Hillary R. Clinton
2016,Delaware,Democrat,3,Hillary R. Clinton
2016,Florida,Republican,29,Donald J. Trump
2016,Georgia,Republican,16,Donald J. Trump
2016,Hawaii,Democrat,4,Hillary R. Clinton
2016,Idaho,Republican,4,Donald J. Trump
2016,Illinois,Democrat,20,Hillary R. Clinton
2016,Indiana,Republican,11,Donald J. Trump
2016,Iowa,Republican,6,Donald J. Trump
2016,Kansas,Republican,6,Donald J. Trump
2016,Kentucky,Republican,8,Donald J. Trump
2016,Louisiana,Republican,8,Donald J. Trump
2016,Maine,Democrat,2,Hillary R. Clinton
2016,Maine CD-1,Democrat-NE,1,Hillary R. Clinton
2016,Maine CD-2,Republican-2,1,Donald J. Trump
2016,Maryland,Democrat,10,Hillary R. Clinton
2016,Massachusetts,Democrat,11,Hillary R. Clinton
2016,Michigan,Republican,16,Donald J. Trump
2016,Minnesota,Democrat,10,Hillary R. Clinton
2016,Mississippi,Republican,6,Donald J. Trump
2016,Missouri,Republican,10,Donald J. Trump
2016,Montana,Republican,3,Donald J. Trump
2016,Nebraska,Republican,2,Donald J. Trump
2016,Nebraska CD-1,Republican,1,Donald J. Trump
2016,Nebraska CD-2,Republican,1,Donald J. Trump
2016,Nebraska CD-3,Republican,1,Donald J. Trump
2016,Nevada,Democrat,6,Hillary R. Clinton
2016,New Hampshire,Democrat,4,Hillary R. Clinton
2016,New Jersey,Democrat,14,Hillary R. Clinton
2016,New Mexico,Democrat,5,Hillary R. Clinton
2016,New York,Democrat,29,Hillary R. Clinton
2016,North Carolina,Republican,15,Donald J. Trump
2016,North Dakota,Republican,3,Donald J. Trump
2016,Ohio,Republican,18,Donald J. Trump
2016,Oklahoma,Republican,7,Donald J. Trump
2016,Oregon,Democrat,7,Hillary R. Clinton
2016,Pennsylvania,Republican,20,Donald J. Trump
2016,Rhode Island,Democrat,4,Hillary R. Clinton
2016,South Carolina,Republican,9,Donald J. Trump
2016,South Dakota,Republican,3,Donald J. Trump
2016,Tennessee,Republican,11,Donald J. Trump
2016,Texas,Republican,36,Donald J. Trump
2016,Utah,Republican,6,Donald J. Trump
2016,Vermont,Democrat,3,Hillary R. Clinton
2016,Virginia,Democrat,13,Hillary R. Clinton
2016,Washington,Democrat,12,Hillary R. Clinton
2016,West Virginia,Republican,5,Donald J. Trump
2016,Wisconsin,Republican,10,Donald J. Trump
2016,Wyoming,Republican,3,Donald J. Trump
2016,"Washington, D.C.",Democrat,3,Hillary R. Clinton
2012,Alabama,Republican,9,W. Mitt Romney
2012,Alaska,Republican,3,W. Mitt Romney
2012,Arizona,Republican,11,W. Mitt Romney
2012,Arkansas,Republican,6,W. Mitt Romney
2012,California,Democrat,55,Barack H. Obama
2012,Colorado,Democrat,9,Barack H. Obama
2012,Connecticut,Democrat,7,Barack H. Obama
2012,Delaware,Democrat,3,Barack H. Obama
2012,Florida,Democrat,29,Barack H. Obama
2012,Georgia,Republican,16,W. Mitt Romney
2012,Hawaii,Democrat,4,Barack H. Obama
2012,Idaho,Republican,4,W. Mitt Romney
2012,Illinois,Democrat,20,Barack H. Obama
2012,Indiana,Republican,11,W. Mitt Romney
2012,Iowa,Democrat,6,Barack H. Obama
2012,Kansas,Republican,6,W. Mitt Romney
2012,Kentucky,Republican,8,W. Mitt Romney
2012,Louisiana,Republican,8,W. Mitt Romney
2012,Maine,Democrat,2,Barack H. Obama
2012,Maine CD-1,Democrat,1,Barack H. Obama
2012,Maine CD-2,Democrat,1,Barack H. Obama
2012,Maryland,Democrat,10,Barack H. Obama
2012,Massachusetts,Democrat,11,Barack H. Obama
2012,Michigan,Democrat,16,Barack H. Obama
2012,Minnesota,Democrat,10,Barack H. Obama
2012,Mississippi,Republican,6,W. Mitt Romney
2012,Missouri,Republican,10,W. Mitt Romney
2012,Montana,Republican,3,W. Mitt Romney
