president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Joe Biden,All polls,12/12/2022,1/1/2021,1/31/2021,SurveyMonkey,C,37739,a,1.5655593,0,57,40,56.453052,38.117402,"","",https://www.surveymonkey.com/curiosity/biden-approval-tracker-2022/,80774,162045,9/24/2022,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/19/2021,1/21/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.33818752,0,48,45,48.57915,40.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74247,139395,1/22/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/19/2021,1/21/2021,Morning Consult,B,15000,a,.25936103,0,50,28,49.313655,30.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74272,139491,1/28/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/20/2021,1/21/2021,Ipsos,B-,1115,a,1.1013975,0,55.47,31.59,54.887959,32.179004,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-01/2021_reuters_tracking_-_core_political_presidential_approval_tracker_01_22_2021.pdf,74248,139404,1/22/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/20/2021,1/21/2021,Morning Consult,B,1993,rv,.09297777,0,56,31,55.313655,33.761871,"","",https://assets.morningconsult.com/wp-uploads/2021/01/21155806/210166_crosstabs_MC_WASHINGTON_RVs_v2.pdf,74246,139394,1/22/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/20/2021,1/22/2021,Morning Consult,B,15000,a,.23326085,0,51,28,50.313655,30.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74273,139492,1/28/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/20/2021,1/21/2021,YouGov,B+,1516,a,1.2454012,0,45,28,45.768467,29.071732,"","",https://docs.cdn.yougov.com/u3h9dresbn/20210120_yahoo_coronavirus_toplines.pdf,74327,139570,2/2/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/20/2021,1/24/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.1776436,0,48,47,48.57915,42.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74249,139406,1/25/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/21/2021,1/22/2021,HarrisX,B+,941,rv,1.041367,0,63,37,59.365403,38.369763,"","",https://thehill.com/hilltv/what-americas-thinking/535742-poll-president-bidens-first-approval-of-his-term-at-63-percent,74256,139422,1/25/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/21/2021,1/23/2021,RMG Research,B-,1200,rv,.8806739,0,58,32,57.665045,32.475229,"","",https://justthenews.com/politics-policy/polling/poll-nearly-third-voters-disapprove-bidens-job-performance-so-far,74270,139489,1/28/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/21/2021,1/23/2021,Morning Consult,B,15000,a,.21460409,0,52,29,51.313655,31.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74274,139493,1/28/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/20/2021,1/26/2021,Echelon Insights,B/C,1006,rv,1.1879702,0,55,33,53.244392,32.969539,"","",https://echeloninsights.com/in-the-news/january-omnibus-biden-administration/,74329,139616,2/3/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/21/2021,1/24/2021,Monmouth University,A,809,a,1.5307823,0,54,30,55.224153,29.946317,"","",https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_012721.pdf/,74263,139456,1/27/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/22/2021,1/24/2021,Morning Consult,B,15000,a,.19996795,0,53,29,52.313655,31.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74257,139494,1/28/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/21/2021,1/25/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.50167279,0,48,47,48.57915,42.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74259,139428,1/26/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/23/2021,1/25/2021,Morning Consult,B,15000,a,.18823914,0,53,30,52.313655,32.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74275,139495,1/28/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/22/2021,1/25/2021,Data for Progress,B,1164,lv,1.4552095,0,57,36,55.820247,35.527539,"","",https://www.dataforprogress.org/blog/2021/1/28/fifty-seven-percent-of-voters-approve-of-biden-in-his-first-week-as-president,74271,139490,1/28/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/22/2021,1/25/2021,Morning Consult,B,1990,rv,.07491918,0,59,32,58.313655,34.761871,"","",https://assets.morningconsult.com/wp-uploads/2021/01/27081057/210182_crosstabs_POLITICO_RVs_v1_AUTO.pdf,74264,139461,1/27/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/22/2021,1/25/2021,Morning Consult,B,2200,a,.08282522,0,56,32,55.313655,34.761871,"","",https://assets.morningconsult.com/wp-uploads/2021/02/12185419/210184_crosstabs_MC_ENERGY_Adults_v1-1.pdf,74376,139763,2/15/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/24/2021,1/26/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.25591397,0,48,48,48.57915,43.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74261,139433,1/27/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/24/2021,1/26/2021,YouGov,B+,1500,a,1.077634,0,51,34,51.768467,35.071732,"","",https://docs.cdn.yougov.com/ld46rgtdlz/econTabReport.pdf,74262,139434,1/27/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/24/2021,1/26/2021,Morning Consult,B,15000,a,.18001159,0,53,30,52.313655,32.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74276,139496,1/28/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/25/2021,1/27/2021,Morning Consult,B,15000,a,.17323649,0,54,31,53.313655,33.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74277,139497,1/28/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/25/2021,1/26/2021,Morning Consult,B,2200,a,.07622406,0,58,32,57.313655,34.761871,"","",https://assets.morningconsult.com/wp-uploads/2021/02/04174538/210179_crosstabs_MC_SPORTS_PRESUPER_BOWL_Adults_v3.pdf,74346,139653,2/5/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/24/2021,1/27/2021,Marist College,A,1313,a,2.1893262,0,49,35,49.748324,35.149389,"","",http://maristpoll.marist.edu/wp-content/uploads/2021/02/Marist-Poll_USA-NOS-and-Tables_202101281213-1.pdf#page=3,74320,139558,2/1/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/25/2021,1/27/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.24753628,0,49,48,49.57915,43.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74268,139483,1/28/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/26/2021,1/28/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.240225,0,50,45,50.57915,40.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74290,139515,1/29/2021,10:46:46 12 Dec 2022
